flightId,flightNo,departureAirport,departureTime,arrivalAirport,arrivalTime,flyDur,historicalFlyDur,aircraftNo,aircraftType,isInternational,fixedSucessor
32758,ZH9757,HRB,2017-12-21 09:20:00,LYI,2017-12-21 11:50:00,02:30:00,02:30:00,B1477,738,FALSE,NULL
32759,ZH9758,LYI,2017-12-21 18:30:00,HRB,2017-12-21 20:50:00,02:20:00,02:20:00,B1477,738,FALSE,NULL
32760,ZH9758,WNZ,2017-12-21 15:50:00,LYI,2017-12-21 17:45:00,01:55:00,01:55:00,B1477,738,FALSE,NULL
32761,ZH9771,CTU,2017-12-21 18:20:00,KHN,2017-12-21 20:30:00,02:05:00,02:05:00,B7749,738,FALSE,NULL
32762,ZH9772,KHN,2017-12-21 14:30:00,CTU,2017-12-21 16:50:00,02:40:00,02:40:00,B7749,738,FALSE,NULL
32763,ZH9741,NKG,2017-12-21 13:10:00,HHA,2017-12-21 14:55:00,01:45:00,01:45:00,B1519,738,FALSE,NULL
32764,ZH9741,HRB,2017-12-21 09:15:00,NKG,2017-12-21 12:10:00,02:55:00,02:55:00,B1519,738,FALSE,NULL
32765,ZH9742,HHA,2017-12-21 15:55:00,NKG,2017-12-21 17:15:00,01:20:00,01:20:00,B1519,738,FALSE,NULL
32766,ZH9742,NKG,2017-12-21 18:15:00,HRB,2017-12-21 20:55:00,02:40:00,02:40:00,B1519,738,FALSE,NULL
32782,ZH9917,CAN,2017-12-22 06:30:00,KHN,2017-12-22 08:10:00,01:32:00,01:32:00,B5379,738,FALSE,NULL
32783,ZH9918,KHN,2017-12-22 21:15:00,CAN,2017-12-22 22:50:00,01:43:00,01:43:00,B5379,738,FALSE,NULL
32784,ZH9389,NNG,2017-12-22 18:10:00,KHN,2017-12-22 19:50:00,01:40:00,01:40:00,B5365,738,FALSE,NULL
32785,ZH9389,KHN,2017-12-22 20:40:00,DLC,2017-12-22 22:50:00,02:10:00,02:10:00,B5365,738,FALSE,NULL
32786,ZH9390,KHN,2017-12-22 11:35:00,NNG,2017-12-22 13:50:00,02:15:00,02:15:00,B5365,738,FALSE,NULL
32787,ZH9390,DLC,2017-12-22 08:05:00,KHN,2017-12-22 10:35:00,02:30:00,02:30:00,B5365,738,FALSE,NULL
32788,ZH9665,CGO,2017-12-22 13:05:00,ZUH,2017-12-22 15:30:00,02:25:00,02:25:00,B1475,738,FALSE,NULL
32789,ZH9666,ZUH,2017-12-22 16:20:00,CGO,2017-12-22 18:50:00,02:30:00,02:30:00,B1475,738,FALSE,NULL
32790,ZH9666,CGO,2017-12-22 19:50:00,DLC,2017-12-22 21:35:00,02:02:00,02:02:00,B1475,738,FALSE,NULL
32791,ZH9326,NNG,2017-12-22 21:20:00,SZX,2017-12-22 22:55:00,01:26:00,01:26:00,B7083,738,FALSE,NULL
32792,ZH9329,SZX,2017-12-22 22:10:00,ZHA,2017-12-22 23:20:00,01:11:00,01:11:00,B1711,738,FALSE,NULL
32793,ZH9330,ZHA,2017-12-22 07:50:00,SZX,2017-12-22 08:50:00,01:02:00,01:02:00,B1755,738,FALSE,NULL
32796,ZH9337,SZX,2017-12-22 07:00:00,XFN,2017-12-22 09:10:00,02:10:00,02:10:00,B5322,738,FALSE,NULL
32797,ZH9338,XFN,2017-12-22 09:55:00,SZX,2017-12-22 12:10:00,02:15:00,02:15:00,B5322,738,FALSE,NULL
32798,ZH9343,SZX,2017-12-22 06:20:00,CGO,2017-12-22 08:55:00,02:26:00,02:26:00,B5412,738,FALSE,NULL
32799,ZH9343,CGO,2017-12-22 10:05:00,KRY,2017-12-22 15:00:00,04:55:00,04:55:00,B5412,738,FALSE,NULL
32800,ZH9344,CGO,2017-12-22 23:10:00,SZX,2017-12-23 01:50:00,02:35:00,02:35:00,B5412,738,FALSE,NULL
32801,ZH9344,KRY,2017-12-22 17:30:00,CGO,2017-12-22 21:40:00,04:10:00,04:10:00,B5412,738,FALSE,NULL
32803,ZH9860,NKG,2017-12-22 10:40:00,CAN,2017-12-22 13:05:00,02:31:00,02:31:00,B1939,738,FALSE,NULL
32804,ZH9861,CAN,2017-12-22 08:45:00,NKG,2017-12-22 10:55:00,02:09:00,02:09:00,B5616,738,FALSE,NULL
32805,ZH9862,NKG,2017-12-22 12:20:00,CAN,2017-12-22 14:35:00,02:31:00,02:31:00,B5616,738,FALSE,NULL
32806,ZH9863,CAN,2017-12-22 10:45:00,NKG,2017-12-22 13:05:00,02:09:00,02:09:00,B5362,738,FALSE,NULL
32807,ZH9864,NKG,2017-12-22 14:20:00,CAN,2017-12-22 16:40:00,02:31:00,02:31:00,B5362,738,FALSE,NULL
32810,ZH9867,CAN,2017-12-22 16:45:00,NKG,2017-12-22 19:15:00,02:09:00,02:09:00,B5778,738,FALSE,NULL
32811,ZH9868,NKG,2017-12-22 20:35:00,CAN,2017-12-22 23:00:00,02:31:00,02:31:00,B5778,738,FALSE,NULL
32814,ZH9871,SZX,2017-12-22 07:50:00,HGH,2017-12-22 09:50:00,01:55:00,01:55:00,B5103,739,FALSE,NULL
32815,ZH9872,HGH,2017-12-22 11:05:00,SZX,2017-12-22 13:20:00,02:24:00,02:24:00,B5103,739,FALSE,NULL
32817,ZH9897,SZX,2017-12-22 20:15:00,HFE,2017-12-22 22:30:00,02:05:00,02:05:00,B5109,739,FALSE,NULL
32818,ZH9898,HFE,2017-12-22 23:25:00,SZX,2017-12-23 01:55:00,02:27:00,02:27:00,B5109,739,FALSE,NULL
32823,ZH9903,SZX,2017-12-22 11:30:00,TNA,2017-12-22 14:25:00,02:46:00,02:46:00,B5109,739,FALSE,NULL
32824,ZH9904,TNA,2017-12-22 16:00:00,SZX,2017-12-22 19:00:00,03:04:00,03:04:00,B5109,739,FALSE,NULL
32825,ZH9909,SZX,2017-12-22 20:15:00,WNZ,2017-12-22 22:00:00,01:39:00,01:39:00,B5401,738,FALSE,NULL
32826,ZH9910,WNZ,2017-12-22 23:30:00,SZX,2017-12-23 01:40:00,02:06:00,02:06:00,B5401,738,FALSE,NULL
32829,ZH9913,SZX,2017-12-22 14:40:00,TAO,2017-12-22 17:45:00,02:51:00,02:51:00,B1518,738,FALSE,NULL
